Scenario,Pattern,Strength_pct,Algorithm,TrialIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,random,30,RRAM,8,0.407079646017699,0,0.20353982300885,0,0.4375,0.4375,0.5625,192.342857142857
small,random,30,RRAM,9,0.471810089020772,0.00285714285714289,0.237333615938957,0.333333333333333,0.475,0.475,0.525,197.973684210526
small,random,30,RRAM,10,0.47289156626506,0.327800829875519,0.400346198070289,0.3,0.5,0.5,0.5,191.475
small,random,30,BDTR,1,0.768996960486322,0,0.384498480243161,0.428571428571429,0.6875,0.6875,0.3125,186.163636363636
small,random,30,BDTR,2,0.727544910179641,0,0.36377245508982,0.416666666666667,0.65,0.65,0.35,184.326923076923
small,random,30,BDTR,3,0.719402985074627,0,0.359701492537313,0.230769230769231,0.6375,0.6375,0.3625,181.705882352941
small,random,30,BDTR,4,0.719402985074627,0,0.359701492537313,0.230769230769231,0.625,0.625,0.375,181.56
small,random,30,BDTR,5,0.70414201183432,0,0.35207100591716,0.25,0.6375,0.6375,0.3625,187.019607843137
small,random,30,BDTR,6,0.735735735735736,0,0.367867867867868,0.454545454545455,0.65,0.65,0.35,186.057692307692
small,random,30,BDTR,7,0.687134502923977,0,0.343567251461988,0.35,0.6375,0.6375,0.3625,198.470588235294
small,random,30,BDTR,8,0.817629179331307,0,0.408814589665653,0.714285714285714,0.725,0.725,0.275,190.568965517241
small,random,30,BDTR,9,0.707831325301205,0,0.353915662650602,0.3,0.625,0.625,0.375,176.12
small,random,30,BDTR,10,0.779816513761468,0,0.389908256880734,0.6,0.6875,0.6875,0.3125,182.272727272727
small,random,30,SROM,1,0.765957446808511,0,0.382978723404255,0.285714285714286,0.675,0.675,0.325,183.518518518519
small,random,30,SROM,2,0.781437125748503,0,0.390718562874251,0.583333333333333,0.7,0.7,0.3,191.196428571429
small,random,30,SROM,3,0.749244712990937,0,0.374622356495468,0.222222222222222,0.6625,0.6625,0.3375,186.264150943396
small,random,30,SROM,4,0.719402985074627,0,0.359701492537313,0.230769230769231,0.625,0.625,0.375,181.56
small,random,30,SROM,5,0.710914454277286,0,0.355457227138643,0.294117647058824,0.6375,0.6375,0.3625,182.843137254902
small,random,30,SROM,6,0.774774774774775,0,0.387387387387387,0.545454545454545,0.6875,0.6875,0.3125,188.836363636364
small,random,30,SROM,7,0.660818713450292,0,0.330409356725146,0.2,0.6,0.6,0.4,189.083333333333
small,random,30,SROM,8,0.776073619631902,0,0.388036809815951,0.25,0.6875,0.6875,0.3125,185.636363636364
small,random,30,SROM,9,0.734939759036145,0,0.367469879518072,0.2,0.65,0.65,0.35,181.307692307692
small,random,30,SROM,10,0.792682926829268,0,0.396341463414634,0.666666666666667,0.7,0.7,0.3,186.196428571429
small,random,30,Hungarian (Ours),1,0.687306501547988,1,0.843653250773994,1,0.625,0.625,0.375,167.04
small,random,30,Hungarian (Ours),2,0.715170278637771,0.479411764705882,0.597291021671827,1,0.6375,0.6375,0.3625,175.392156862745
small,random,30,Hungarian (Ours),3,0.668730650154799,1,0.834365325077399,1,0.6,0.6,0.4,169.166666666667
small,random,30,Hungarian (Ours),4,0.671826625386997,0.481481481481482,0.576654053434239,1,0.5875,0.5875,0.4125,156.382978723404
small,random,30,Hungarian (Ours),5,0.594427244582043,1,0.797213622291022,1,0.5625,0.5625,0.4375,147.777777777778
small,random,30,Hungarian (Ours),6,0.674922600619195,1,0.837461300309598,1,0.6,0.6,0.4,162.3125
small,random,30,Hungarian (Ours),7,0.662538699690402,1,0.831269349845201,1,0.575,0.575,0.425,184.717391304348
small,random,30,Hungarian (Ours),8,0.724458204334365,1,0.862229102167183,1,0.65,0.65,0.35,175.461538461538
