Scenario,Algorithm,RunIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,RRAM,55,0.342182890855457,0.555555555555556,0.448869223205506,0,0.3625,0.3625,0.6375,167.344827586207
small,RRAM,56,0.544891640866873,0.992063492063492,0.768477566465183,1,0.5375,0.5375,0.4625,200.837209302326
small,RRAM,57,0.569659442724458,0.792880258899676,0.681269850812067,1,0.5375,0.5375,0.4625,189.255813953488
small,RRAM,58,0.458333333333333,0.732876712328767,0.59560502283105,0.285714285714286,0.45,0.45,0.55,168.555555555556
small,RRAM,59,0.43452380952381,0.887029288702929,0.660776549113369,0,0.45,0.45,0.55,185.083333333333
small,RRAM,60,0.362359550561798,0.566298342541437,0.464328946551617,0.205882352941176,0.375,0.375,0.625,180.333333333333
small,RRAM,61,0.374631268436578,0.571808510638298,0.473219889537438,0.294117647058824,0.4375,0.4375,0.5625,162.685714285714
small,RRAM,62,0.432835820895522,0.898305084745763,0.665570452820643,0.230769230769231,0.4625,0.4625,0.5375,171.432432432432
small,RRAM,63,0.370056497175141,0.577981651376147,0.474019074275644,0.15625,0.4,0.4,0.6,150
small,RRAM,64,0.427299703264095,0.704980842911877,0.566140273087986,0.266666666666667,0.475,0.475,0.525,180.526315789474
small,RRAM,65,0.48297213622291,0.602777777777778,0.542874957000344,1,0.5,0.5,0.5,204.8
small,RRAM,66,0.469026548672566,0.602857142857143,0.535941845764855,0.294117647058824,0.4625,0.4625,0.5375,170.513513513514
small,RRAM,67,0.446327683615819,0.513353115727003,0.479840399671411,0.25,0.475,0.475,0.525,177.552631578947
small,RRAM,68,0.470588235294118,0.811188811188811,0.640888523241465,1,0.475,0.475,0.525,171.868421052632
small,RRAM,69,0.507739938080495,0.624324324324324,0.56603213120241,1,0.5125,0.5125,0.4875,199.951219512195
small,RRAM,70,0.408284023668639,0.613333333333333,0.510808678500986,0,0.4375,0.4375,0.5625,175.685714285714
small,RRAM,71,0.394658753709199,0.619047619047619,0.506853186378409,0.0666666666666667,0.4,0.4,0.6,166.25
small,RRAM,72,0.423076923076923,0.590551181102362,0.506814052089643,0.3125,0.45,0.45,0.55,182
small,RRAM,73,0.28328611898017,0.330508474576271,0.306897296778221,0,0.3125,0.3125,0.6875,155.68
small,RRAM,74,0.520123839009288,0.76173285198556,0.640928345497424,1,0.525,0.525,0.475,182.785714285714
small,RRAM,75,0.327683615819209,0.509036144578313,0.418359880198761,0.25,0.4,0.4,0.6,176.28125
small,RRAM,76,0.445103857566766,0.578125,0.511614428783383,0,0.475,0.475,0.525,184.131578947368
small,RRAM,77,0.449404761904762,0.739299610894942,0.594352186399852,0.214285714285714,0.4625,0.4625,0.5375,175.243243243243
small,RRAM,78,0.522255192878338,0.589655172413793,0.555955182646066,0.266666666666667,0.55,0.55,0.45,194.590909090909
small,RRAM,79,0.480712166172107,0.640718562874252,0.560715364523179,0.266666666666667,0.5,0.5,0.5,187.3
small,RRAM,80,0.402266288951841,0.488571428571429,0.445418858761635,0.258064516129032,0.475,0.475,0.525,184.684210526316
small,RRAM,81,0.40625,0.535612535612536,0.470931267806268,0.366666666666667,0.45,0.45,0.55,177.638888888889
small,RRAM,82,0.470059880239521,0.498644986449865,0.484352433344693,0.25,0.4875,0.4875,0.5125,179.307692307692
small,RRAM,83,0.376470588235294,0.594086021505376,0.485278304870335,0.333333333333333,0.425,0.425,0.575,162.5
small,RRAM,84,0.410714285714286,0.580901856763926,0.495808071239106,0,0.425,0.425,0.575,172.647058823529
small,RRAM,85,0.447592067988669,0.572727272727273,0.510159670357971,0.387096774193548,0.475,0.475,0.525,175.421052631579
small,RRAM,86,0.427244582043344,1,0.713622291021672,0,0.475,0.475,0.525,169.763157894737
small,RRAM,87,0.380952380952381,0.408719346049046,0.394835863500714,0,0.3875,0.3875,0.6125,161.870967741935
small,RRAM,88,0.379821958456973,0.765124555160142,0.572473256808558,0,0.4,0.4,0.6,181
small,RRAM,89,0.452941176470588,0.556430446194226,0.504685811332407,0,0.45,0.45,0.55,182.25
small,RRAM,90,0.476780185758514,0.883522727272727,0.680151456515621,1,0.4625,0.4625,0.5375,184.702702702703
small,RRAM,91,0.414860681114551,0.927835051546392,0.671347866330471,1,0.4375,0.4375,0.5625,174.285714285714
small,RRAM,92,0.389380530973451,0.493074792243767,0.441227661608609,0,0.4,0.4,0.6,167.5625
small,RRAM,93,0.407079646017699,0.63905325443787,0.523066450227784,0,0.425,0.425,0.575,172.411764705882
small,RRAM,94,0.452012383900929,0.892086330935252,0.67204935741809,1,0.4375,0.4375,0.5625,166.771428571429
small,RRAM,95,0.489614243323442,0.702341137123746,0.595977690223594,0.333333333333333,0.5,0.5,0.5,189.275
small,RRAM,96,0.452012383900929,0.667844522968198,0.559928453434563,1,0.4625,0.4625,0.5375,175.243243243243
small,RRAM,97,0.431137724550898,0.726415094339623,0.57877640944526,0.333333333333333,0.4375,0.4375,0.5625,174.114285714286
small,RRAM,98,0.329411764705882,0.46031746031746,0.394864612511671,0,0.35,0.35,0.65,169.928571428571
small,RRAM,99,0.452012383900929,0.835164835164835,0.643588609532882,1,0.45,0.45,0.55,168.027777777778
small,RRAM,100,0.491071428571429,0.884422110552764,0.687746769562096,0.214285714285714,0.5125,0.5125,0.4875,188.536585365854
small,RRAM,101,0.385756676557863,0.720689655172414,0.553223165865139,0,0.4,0.4,0.6,163.75
